company_ticker,isin,company_name,sector,industry,industry_code,industry_description
WRLS,US70957E1055,Pensare Acquisition Corp,Financials,Asset Management & Custody Activities,FN-AC,"Asset Management & Custody Activities industry entities manage investment portfolios on a commission or fee basis for institutional, retail and high net-worth investors. In addition, entities in this industry provide wealth management, private banking, financial planning, and investment advisory and retail securities brokerage services. Investment portfolios and strategies may be diversified across multiple asset classes, which may include equities, fixed income and hedge fund investments. Specific entities are engaged in venture capital and private equity investments. The industry provides essential services to a range of customers from individual retail investors to large, institutional asset owners to meet specified investment goals. Entities in the industry range from large multi-jurisdictional asset managers with a wide range of investable products, strategies and asset classes to small boutique entities providing services to specific market niches. While large entities generally compete based on management fees charged for their services as well as their potential to generate superior investment performance, the smaller entities generally compete on their ability to provide products and services customised to satisfy the diversification needs of individual clients. The global 2008 financial crisis and subsequent regulatory regime developments highlight the industry’s importance in providing fair advice to customers and managing risks at the entity, portfolio and macroeconomic levels."
TIPSMUSI,,,,,,
NAZARA,INE418L01021,Nazara Technologies Ltd,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
DBCL,INE950I01011,DB Corp Ltd,Services,Media & Entertainment,SV-ME,"Media and entertainment entities create content and/or acquire rights to distribute content over cable or broadcast media, including entertainment programs, news, music, and children’s programming. Entities in this industry also publish books, newspapers, and periodicals, and broadcast radio and local television programming."
3662,JP3160890004,Ateam Inc,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
BRK/A,US0846701086,Berkshire Hathaway Inc,Financials,Insurance,FN-IN,"The Insurance industry provides both traditional and non-traditional insurance-related products. Traditional policy lines include property, life, casualty and reinsurance. Non-traditional products include annuities, alternative risk transfers and financial guarantees. Entities in the insurance industry also engage in proprietary investments. Insurance entities generally operate within a single segment in the industry, for example, property and casualty, although some large insurance entities have diversified operations. Similarly, entities may vary based on the level of their geographical segmentation. Whereas large entities may underwrite insurance premiums in many countries, smaller entities generally operate in a single country or jurisdiction. Insurance premiums, underwriting revenue and investment income drive industry growth, while insurance claim payments present the most significant cost and source of uncertainty for profits. Insurance entities provide products and services that enable the transfer, pooling and sharing of risk necessary for a well-functioning economy. Insurance entities, through their products, can also create a form of moral hazard, reducing incentives to improve underlying behaviour and performance, and thus contributing to sustainability-related impacts. Like other financial institutions, insurance entities face risks associated with credit and financial markets. Within the industry, regulators have identified entities that engage in non-traditional or non-insurance activities, including credit default swaps (CDS) protection and debt securities insurance, as being more vulnerable to financial market developments, and therefore more likely to amplify or contribute to systemic risk. As a result, some insurance entities may be designated as Systemically Important Financial Institutions, thus exposing them to increased regulation and oversight."
CNLI,INE704H01022,Cineline India Ltd,Services,Leisure Facilities,SV-LF,"Entities in the Leisure Facilities industry operate entertainment, travel, and recreation facilities and services. Entities in this industry operate amusement parks, film theatres, ski resorts, sports stadiums, and athletic clubs and other venues. Leisure facilities entities mainly generate revenue by providing live, digital or interactive entertainment to millions of guests and customers annually in various locations."
DITV,INE836F01026,Dish TV India Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
CARTRADE,INE290S01011,Cartrade Tech Ltd,Technology & Communications,Internet Media & Services,TC-IM,"The Internet Media & Services industry consists of two main segments. Entities in the Internet Media segment provide search engines and internet advertising channels, online gaming, and online communities such as social networks, as well as content, which is usually easily searchable, such as educational, medical, health, sports or news content. Entities in the internet-based Services segment sell services mainly through the internet. The industry generates revenue primarily from online advertising, usually on free content, with other revenue sources being subscription fees, content sales or the sale of user information to third parties."
PRIF,INE367G01038,Prime Focus Ltd,Services,Media & Entertainment,SV-ME,"Media and entertainment entities create content and/or acquire rights to distribute content over cable or broadcast media, including entertainment programs, news, music, and children’s programming. Entities in this industry also publish books, newspapers, and periodicals, and broadcast radio and local television programming."
ALEXSC,INE191N01012,Alexander Stamps and Coin Ltd,Consumer Goods,Multiline and Specialty Retailers & Distributors,CG-MR,"The Multiline and Specialty Retailers & Distributors industry encompasses a variety of retailing categories such as department stores, mass merchants, home products stores and warehouse clubs, as well as a smaller segment of distributors like electronics wholesalers and automotive wholesalers. These entities (except for the distribution segment) commonly manage global supply chains to anticipate consumer demands, keep costs low and keep products stocked in their brick-and-mortar storefronts. This is a highly competitive industry in which each category generally has a small number of important players characterised by generally low margins. The relatively substitutable nature of retail makes entities in this industry especially susceptible to reputational risks."
PRAVEG,,,,,,
138SL,JME201400061,138 Student Living Jamaica Ltd,Infrastructure,Real Estate Services,IF-RS,"Real Estate Services industry entities provide a range of services to real estate owners, tenants, investors and developers. Primary services include property management, brokerage, appraisal and information services for real estate owners. Property management services may include leasing, tenant relations, building maintenance and building security. Many entities also provide brokerage services, facilitating sales and leasing transactions. Appraisals and other advisory or information services are other specialised services commonly provided to clients. Entities in the industry play important roles in the real estate value chain, which is a substantial part of the global economy."
YATRA,JE00B1FBT077,Yatra Capital Ltd,Infrastructure,Real Estate,IF-RE,"Real Estate industry entities own, develop and operate income-producing real estate assets. Entities in this industry commonly are structured as real estate investment trusts (REITs) and operate in a wide range of real estate industry segments, including residential, retail, office, health care, industrial and hotel properties. REITs typically participate in direct real estate asset ownership, thereby providing investors with the opportunity to obtain real estate exposure without direct asset ownership and management. Although REITs often concentrate on individual Real Estate industry segments, many REITs diversify investments across multiple property types."
JAGP,INE199G01027,Jagran Prakashan Ltd,Services,Media & Entertainment,SV-ME,"Media and entertainment entities create content and/or acquire rights to distribute content over cable or broadcast media, including entertainment programs, news, music, and children’s programming. Entities in this industry also publish books, newspapers, and periodicals, and broadcast radio and local television programming."
OPIL,INE350C01017,Optiemus Infracom Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
MTNL,INE153A01019,Mahanagar Telephone Nigam Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
3996,JP3312170008,Signpost Corp,Services,Professional & Commercial Services,SV-PS,"The industry includes entities that rely on the unique skills and knowledge of their employees to serve a range of clients. Services are often provided on an assignment basis, where an individual or team is responsible for the delivery of services to clients. Offerings include, but are not limited to, management and administration consulting services, such as staffing and executive search services; legal, accounting, and tax preparation services; and financial and non-financial information services. Non-financial information service providers may specialise in an array of topics such as energy, healthcare, real estate, technology, and science. Financial information service entities include credit and rating agencies as well as data and portfolio analytics providers. Customers of professional and commercial service providers include private and public for-profit institutions and non-profit organisations."
GTPL,INE869I01013,GTPL Hathway Ltd,Technology & Communications,Telecommunication Services,TC-TL,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
DANGFLOU,NGDANGFLOUR2,Dangote Flour Mills Plc,Food & Beverage,Agricultural Products,FB-AG,"The Agricultural Products industry is engaged in processing, trading and distributing vegetables and fruits, and producing and milling agricultural commodities such as grains, sugar, consumable oils, maize, soybeans and animal feed. Entities sell products directly to consumers and businesses for use in consumer and industrial products. Entities in the industry typically purchase agricultural products from entities that grow such products (either directly or indirectly) to then conduct value-adding activities (for example, processing, trading, distributing and milling). Agricultural products entities also are involved in wholesale and distribution. Entities in the industry may source a substantial portion of agricultural commodities from third-party growers in various countries. Therefore, managing sustainability risks within the supply chain is critical to securing a reliable raw materials supply and reducing the risk of price increases and volatility over the long term."
MSIL,INE585B01010,Maruti Suzuki India Ltd,Transportation,Automobiles,TR-AU,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
ATANA,SE0010547273,Attana AB,Health Care,Medical Equipment & Supplies,HC-MS,"The Medical Equipment & Supplies industry researches, develops and produces medical, surgical, dental, ophthalmic and veterinary instruments and devices. Hospitals, clinics and laboratories use these products, which range from disposable items to highly specialised equipment. The increased prevalence of diseases associated with unhealthy lifestyles and an ageing population are important factors that may encourage growth in this industry. Emerging markets and the expansion of health insurance may contribute to further growth. However, the extension of government insurance programmes, provider and payer consolidation, and regulatory emphasis on reduced costs in all markets may result in downward pricing pressure."
TTMT,INE155A01022,Tata Motors Ltd,Transportation,Automobiles,TR-AU,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
BJAUT,INE917I01010,Bajaj Auto Ltd,Transportation,Automobiles,TR-AU,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
MM,INE101A01026,Mahindra & Mahindra Ltd,Transportation,Automobiles,TR-AU,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
NTGAZ,TRENTGZ00014,Naturelgaz Sanayi ve Ticaret AS,Infrastructure,Gas Utilities & Distributors,IF-GU,"The Gas Utilities & Distributors industry consists of gas distribution and marketing entities. Gas distribution involves operating local, low-pressure pipes to transfer natural gas from larger transmission pipes to end users. Gas marketing entities are gas brokers that aggregate and deliver natural gas in quantities that meet the needs of various customers, generally through other entities’ transmission and distribution lines. A relatively smaller portion of this industry is involved in propane gas distribution; therefore, this standard is focused on natural gas distribution. Both types of gas are used for heating and cooking by residential, commercial and industrial customers. In regulated markets, the utility is granted a full monopoly over the distribution and sale of natural gas. A regulator must approve the rates utilities charge to prevent the abuse of their monopoly position. In deregulated markets, distribution and marketing are separated legally, and customers have a choice of which entity from which to buy their gas. In this case, a common carrier utility is guaranteed a monopoly only over distribution and is required legally to transmit all gas equitably along its pipes for a fixed fee. Overall, entities must provide safe, reliable, low-cost gas, while effectively managing their social and environmental impacts, such as community safety and methane emissions."
6156,JP3160660001,A-One Seimitsu Inc,Resource Transformation,Industrial Machinery & Goods,RT-IG,"Industrial machinery and goods industry entities manufacture equipment for a variety of industries including construction, agriculture, energy, utility, mining, manufacturing, automotive and transportation. Products include engines, earth-moving equipment, trucks, tractors, ships, industrial pumps, locomotives and turbines. Machinery manufacturers use large amounts of raw materials for production, including steel, plastics, rubber, paints and glass. Manufacturers also may machine and cast parts before final assembly. Demand in the industry is tied closely to industrial production, while government emissions standards and customer demand are encouraging innovations to improve energy efficiency and limit air emissions during product use."
TVSL,INE494B01023,TVS Motor Co Ltd,Transportation,Automobiles,TR-AU,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
HMCL,INE158A01026,Hero MotoCorp Ltd,Transportation,Automobiles,TR-AU,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
ADAPRA,BA100ADAPRA3,Adapter ad Bosanski Brod,Services,Leisure Facilities,SV-LF,"Entities in the Leisure Facilities industry operate entertainment, travel, and recreation facilities and services. Entities in this industry operate amusement parks, film theatres, ski resorts, sports stadiums, and athletic clubs and other venues. Leisure facilities entities mainly generate revenue by providing live, digital or interactive entertainment to millions of guests and customers annually in various locations."
IH,US45175B1098,iHuman Inc,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
MSS,INE775A01035,Motherson Sumi Systems Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
MRCO,INE196A01026,Marico Ltd,Consumer Goods,Household & Personal Products,CG-HP,"Household & Personal Products industry entities manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors and kitchen utensils. Household and personal products entities operate globally and typically sell their products to mass merchants, grocery stores, membership club stores, drug stores, high-frequency stores, distributors and e-commerce retailers. Some entities sell products through independent representatives rather than third-party retail establishments."
MRFG3,BRMRFGACNOR0,Marfrig Global Foods SA,Food & Beverage,"Meat, Poultry & Dairy",FB-MP,"The Meat, Poultry & Dairy industry produces raw and processed animal products, including meats, eggs and dairy products, for human and animal consumption. Important activities include animal raising, slaughtering, processing and packaging. The industry’s largest entities have international operations, and entities are integrated vertically to varying degrees, depending on the type of animal produced. Large industry operators typically rely on contract or independent farmers to supply animals and may have varying degrees of control over their operations. The industry sells products primarily to the Processed Foods industry and to retail distributors that distribute finished products to key end markets including restaurants, livestock and pet feed consumers, and grocery retailers."
NYKAA,INE388Y01029,FSN E-Commerce Ventures Ltd,Consumer Goods,E-Commerce,CG-EC,"E-Commerce industry entities provide an online marketplace for other entities or individuals to sell their goods and services, as well as retailers and wholesalers that provide an exclusively web-based platform for consumers to buy goods and services. Entities in this industry sell to consumers as well as to other businesses. Because of the accessibility of e-commerce sites, the industry is a global marketplace for buyers and sellers."
MOBIL,NGMOBIL00007,11 PLC,Extractives & Minerals Processing,Oil & Gas – Refining & Marketing,EM-RM,"Oil & Gas - Refining & Marketing (R&M) entities refine petroleum products, market oil and gas products, or operate gas stations, all of which comprise the downstream operations of the oil and gas value chain. The types of refinery products and crude oil inputs influence the complexity of the refining process used, with varied expenditure needs and intensity of environmental and social impacts."
KALYANKJ,INE303R01014,Kalyan Jewellers India Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
